issn,discount,is_flatrate
2755-323X,1,False
2667-0968,1,False
1469-7661,0.25,False
1904-0016,0.25,False
1868-8810,1,False
2380-0135,0.25,False
1743-8594,1,False
0093-5301,1,False
0144-929X,0.25,False
0883-9441,1,False
1613-1134,0.25,False
0165-1765,1,False
1943-3107,1,False
0047-6374,0.4,False
1741-7279,1,False
0950-4222,1,False
1364-5498,1,False
1936-1610,1,False
2319-7145,0.25,False
0885-3908,0.25,False
2667-2766,1,False
0013-0915,1,False
0026-461X,1,False
1745-4999,0.25,False
1540-6229,0.25,False
2666-2027,0.25,False
2193-2336,1,False
1936-7244,0.25,False
0731-6844,0.25,False
1757-9139,1,False
1532-7582,1,False
0831-2796,1,False
1468-0777,1,False
2057-8911,0.25,False
1474-0087,0.4,False
0193-0826,1,False
1448-4846,1,False
2352-409X,1,False
1473-0782,1,False
1939-2400,0.25,False
1477-1535,1,False
1545-228X,1,False
0066-7374,1,False
1938-744X,0.25,False
1526-4998,0.2,False
1084-8770,0.25,False
1469-1809,1,False
2590-0536,0.25,False
2472-1972,0.25,False
1361-648X,1,False
2666-9161,1,False
1540-7969,0.2,False
2161-7953,1,False
0195-6663,0.25,False
0265-931X,1,False
1756-2651,0.4,False
2748-3479,1,False
1765-2839,0.25,False
1741-3214,0.25,False
0363-8111,0.25,False
1940-3364,1,False
2324-9676,0.25,False
0142-6540,0.25,False
1477-4607,1,False
1741-3060,1,False
8756-3282,1,False
1945-7413,1,False
2047-7724,0.2,False
0141-1594,1,False
1040-6026,1,False
0013-0095,1,False
2628-491X,0.25,False
2047-2927,0.25,False
1535-2900,1,False
2949-9186,1,False
1740-0309,1,False
0950-6608,1,False
0304-3797,0.25,False
1751-8431,1,False
1744-6171,0.25,False
0275-7540,0.25,False
2333-6846,0.2,False
2173-5727,1,False
0014-1844,0.2,False
1932-2143,1,False
1067-991X,0.2,False
2374-3689,1,False
0887-3631,1,False
0003-4894,1,False
2949-7191,0.25,False
1539-4468,1,False
1836-9391,0.4,False
2667-3053,1,False
1557-928X,0.25,False
1547-7401,1,False
0911-6044,1,False
2165-0349,0.2,False
2047-2412,1,False
2772-4174,1,False
1662-6370,1,False
2451-9049,1,False
2378-525X,1,False
2768-3532,0.25,False
1077-8004,1,False
2333-7486,0.25,False
1865-7125,1,False
1467-6419,1,False
0225-5189,1,False
2199-8531,1,False
1124-3694,0.25,False
1351-8046,0.25,False
0966-6362,1,False
2994-9769,1,False
1745-1701,1,False
1440-0952,0.25,False
0952-8873,0.25,False
1756-2201,0.25,False
1749-6020,1,False
1574-6941,0.1,False
1529-9430,1,False
1328-7982,1,False
1464-5262,0.25,False
2666-5468,0.25,False
1502-4717,1,False
2753-8516,0.25,False
2159-9777,1,False
2163-5781,1,False
1600-6135,1,False
2471-4100,1,False
1747-6933,0.25,False
2771-9855,1,False
1938-6362,0.25,False
2162-9536,1,False
2950-2640,1,False
1939-165X,1,False
2405-4569,0.25,False
2949-8236,1,False
1474-001X,0.25,False
1469-5138,1,False
0006-8055,1,False
1478-6028,1,False
1613-3706,0,False
1469-9818,1,False
1195-6860,1,False
1751-7443,0.25,False
1468-1749,0.25,False
1747-1540,1,False
1461-7080,1,False
2471-1616,1,False
1466-1837,1,False
1471-8391,0.25,False
2590-1613,1,False
1532-0383,1,False
1099-0844,1,False
1472-3433,1,False
1526-2375,0.25,False
1469-672X,0.2,False
2347-6311,0.25,False
1708-8283,0.25,False
1465-3397,1,False
0361-6843,0.4,False
2694-2496,1,False
1552-3349,1,False
1520-5126,1,False
0197-3533,0.25,False
1474-9734,1,False
1744-7666,1,False
1468-005X,1,False
1867-3899,1,False
0967-1994,0.25,False
1460-3705,1,False
2456-3722,1,False
0031-3025,0.25,False
0096-1442,1,False
1748-7889,0.2,False
0022-1759,0.25,False
1793-2157,1,False
1744-9324,1,False
1751-696X,1,False
1559-5706,1,False
1942-4795,0.25,False
1558-2159,0.25,False
1743-2200,1,False
2666-769X,0.25,False
0038-0806,1,False
1558-8661,1,False
1467-8381,1,False
1521-6942,1,False
2667-3436,1,False
1532-799X,1,False
1866-9808,0.25,False
1388-2457,0.25,False
1521-057X,1,False
1944-9208,0.2,False
0167-4048,0.25,False
1423-0321,0.1,False
0972-8201,1,False
1365-2990,1,False
0033-2747,1,False
1350-0775,0.1,False
2190-8273,1,False
1532-7027,0.25,False
1464-5173,1,False
1745-6924,1,False
2772-6878,0.25,False
2058-9883,0.25,False
2542-4513,1,False
1745-459X,1,False
0306-9400,1,False
1448-8353,0.25,False
0024-6301,0.25,False
1552-3888,0.25,False
1554-527X,1,False
1472-5878,1,False
1752-0606,1,False
1469-9958,0.25,False
0391-3988,1,False
1440-169X,0.25,False
1064-119X,0.25,False
0011-2240,1,False
1939-3806,1,False
1469-4395,1,False
1523-5378,0.4,False
1538-4845,1,False
0301-3294,0.1,False
1944-7922,1,False
1756-591X,1,False
0387-7604,1,False
0962-0214,0.2,False
2573-2331,1,False
1367-423X,1,False
0144-2872,1,False
0146-8693,0.2,False
0892-7022,1,False
1715-5320,0.2,False
0007-6813,0.4,False
1053-8712,0.2,False
0886-1099,1,False
1465-3303,0.25,False
0024-2829,1,False
1552-7514,0.25,False
0955-2219,1,False
1755-8778,1,False
0036-5521,0.25,False
1865-8849,1,False
0309-6564,1,False
2212-5558,1,False
0016-7746,0.25,False
0024-4082,1,False
0091-4150,1,False
1087-1209,1,False
1477-9234,1,False
2468-1113,1,False
1468-0394,0.25,False
0047-2352,1,False
1918-7033,1,False
2053-4345,1,False
2667-1026,1,False
2196-6842,0.25,False
2046-9047,1,False
2366-0317,1,False
1028-3153,0.25,False
1479-0270,0.25,False
0827-6331,1,False
1873-9946,1,False
1753-3074,1,False
0003-2719,0.25,False
1099-6362,0.25,False
1559-1816,0.25,False
1531-426X,1,False
1747-0927,0.1,False
1744-7976,1,False
1464-505X,1,False
2196-6826,0.25,False
0018-7208,0.25,False
0959-9916,1,False
1470-2436,0.25,False
1935-4940,0.25,False
2772-9737,0.25,False
0923-2508,0.25,False
1357-650X,1,False
1552-7638,1,False
1044-8632,0.25,False
1547-0164,0.25,False
0040-6090,0.25,False
2666-8181,1,False
1468-2478,1,False
2379-9935,1,False
2515-1274,1,False
2168-9156,1,False
2753-6386,1,False
0306-8374,1,False
1532-7698,0.25,False
2772-8293,0.25,False
0892-0362,0.25,False
1931-0846,0.25,False
1471-6860,1,False
0955-7997,0.25,False
1471-5449,1,False
1751-2441,1,False
1611-2776,1,False
1531-4650,1,False
0304-3754,0.25,False
1464-360X,1,False
0888-0018,1,False
0007-4853,1,False
2168-1732,1,False
0959-2709,1,False
2530-0180,1,False
1753-9153,0.25,False
2169-2793,1,False
0168-0072,1,False
2666-5018,0.25,False
2472-5854,1,False
1752-1971,0.25,False
2168-1724,0.25,False
1067-2516,1,False
0275-9527,0.25,False
2173-5794,0.25,False
1029-0273,1,False
1753-9161,0.25,False
1179-5581,0.2,False
1533-1601,0.25,False
1943-4863,0.25,False
1467-9590,1,False
2171-1976,1,False
1551-6709,1,False
2155-9856,0.25,False
0114-0671,0.25,False
0024-3639,1,False
1868-5021,1,False
0021-8553,0.25,False
2194-6086,0.25,False
1741-2927,0.25,False
2605-0730,1,False
1552-681X,1,False
1466-4453,1,False
2452-2139,0.25,False
1465-3664,1,False
2154-8455,0.4,False
2588-9311,1,False
1557-251X,1,False
2634-3797,0.25,False
0260-3055,0.25,False
1521-3870,1,False
2589-8450,1,False
2666-5581,0.25,False
1931-5260,0.25,False
0023-9690,0.25,False
1539-4107,1,False
1758-1559,0.1,False
1465-3990,0.25,False
1360-144X,0.25,False
2329-7018,0.2,False
1537-4424,1,False
1757-1782,1,False
1063-8512,0.25,False
1748-6858,0.25,False
1479-0726,0.2,False
1865-8423,1,False
0300-5712,0.25,False
1600-910X,1,False
2752-6399,0.25,False
2056-4678,0.25,False
0954-4828,0.25,False
2379-3694,1,False
2773-2231,1,False
1754-9434,1,False
2040-6215,0.25,False
2199-3386,0.25,False
1755-0211,1,False
1469-5405,1,False
1536-383X,1,False
0266-464X,0.25,False
1744-5531,1,False
1467-2987,1,False
1744-7593,0.25,False
1068-6967,1,False
1092-9134,1,False
2574-0881,1,False
1551-806X,0.25,False
1052-150X,0.25,False
0734-6875,1,False
0146-8030,1,False
0143-8166,1,False
1940-865X,1,False
1096-9861,0.25,False
0275-7206,0.25,False
0268-0939,1,False
1468-2427,1,False
1608-5906,1,False
2055-6365,1,False
1727-9364,1,False
2049-4637,1,False
0265-6914,1,False
1542-4774,1,False
0932-3902,1,False
1066-5684,1,False
2194-508X,0.25,False
1468-2419,1,False
1477-7622,0.25,False
1746-1766,1,False
0163-0563,1,False
1613-4133,1,False
0306-4522,0.25,False
1056-7879,1,False
1740-5599,1,False
1744-5191,0.25,False
1537-2537,0.25,False
1556-7273,0.25,False
1460-2083,1,False
1528-9168,1,False
1068-5200,1,False
0162-1459,0.25,False
0308-5759,0.4,False
1452-3981,1,False
1391-5614,1,False
1356-1820,1,False
1477-0296,0.25,False
2767-3200,0.25,False
1613-3641,0.25,False
0022-3131,1,False
2151-3481,0.25,False
0895-7347,0.25,False
0736-0053,0.4,False
1930-0557,0.25,False
1099-1018,1,False
1752-6272,1,False
1744-8689,1,False
1471-6437,0.25,False
0069-0058,0.25,False
2331-2327,0.2,False
0022-2828,0.25,False
1053-8259,0.25,False
1869-344X,0.25,False
0044-8486,0.25,False
1542-7609,1,False
0098-7913,1,False
2666-688X,0.25,False
1750-0206,1,False
1939-9278,1,False
2472-5587,1,False
1206-212X,0.25,False
1758-1044,1,False
1744-5124,1,False
0953-9468,1,False
2380-8985,1,False
1740-1461,0.25,False
0893-3189,1,False
1931-0676,1,False
2472-7466,1,False
1742-058X,0.25,False
0309-1902,1,False
1049-9091,1,False
2051-3623,1,False
2042-1346,0.25,False
1365-3156,0.1,False
1094-7159,0.25,False
2040-4786,0.2,False
1521-0456,1,False
2195-2965,0.25,False
0344-0338,1,False
2058-1831,0.25,False
2666-1020,0.25,False
2153-5981,1,False
1029-4937,1,False
1754-9469,1,False
1365-2214,1,False
0003-2670,1,False
1683-478X,0.25,False
2194-587X,1,False
0003-2638,1,False
2994-1628,1,False
1757-5672,1,False
1944-3919,0.2,False
1477-9072,0.25,False
2366-0406,0.25,False
1521-3994,1,False
2059-6464,0.25,False
0002-9394,1,False
1944-9194,0.2,False
1715-2992,1,False
2169-5067,1,False
1461-7005,1,False
2772-6525,0.25,False
2665-9131,0.25,False
1564-9148,0.2,False
1461-4103,1,False
2159-6816,0.2,False
2152-0704,1,False
1935-2735,1,False
1135-6405,0.25,False
1551-2177,1,False
2325-5064,0.25,False
1246-7391,1,False
2051-4158,1,False
1094-348X,0.2,False
1744-9650,0.25,False
1758-0463,0.25,False
0049-4755,1,False
1053-8100,0.25,False
2162-7177,1,False
0168-1699,0.25,False
1467-9779,1,False
2772-5596,0.1,False
2158-9119,0.25,False
1520-6777,1,False
1836-6503,0.25,False
2666-9706,0.25,False
0740-624X,1,False
1743-131X,1,False
1860-7349,0.25,False
0975-5969,1,False
2667-2545,0.25,False
2399-293X,0.25,False
0973-2187,1,False
1744-795X,0.25,False
1758-5732,1,False
1540-3556,1,False
0301-9268,1,False
0025-5300,1,False
2589-871X,1,False
1931-7204,0.25,False
1538-4853,0.25,False
0309-877X,0.25,False
1099-0496,1,False
1754-4750,1,False
1530-6860,0.2,False
2214-6296,1,False
2468-5194,1,False
1359-1789,1,False
1476-8305,1,False
2211-7156,0.25,False
1465-3133,1,False
2626-8329,1,False
0009-8981,0.25,False
1941-126X,1,False
1867-030X,1,False
1556-3855,0.25,False
0009-2509,1,False
2053-1419,0.25,False
1361-665X,0.25,False
1013-0950,1,False
1060-1325,1,False
1086-4822,1,False
2349-7718,1,False
2162-271X,0.25,False
0379-6779,0.25,False
1468-7941,1,False
1120-1797,1,False
1465-7295,1,False
2214-5796,1,False
1369-8036,1,False
2688-3597,0.25,False
2327-8595,1,False
1533-0338,0.2,False
1521-6934,0.25,False
2167-5112,0.25,False
1474-2640,0.25,False
2330-4022,1,False
1469-5898,1,False
1753-3015,1,False
1520-5703,1,False
0971-9458,1,False
2590-1230,0.25,False
1552-7573,0.2,False
2163-5803,1,False
1354-750X,1,False
1934-9645,1,False
0932-0784,1,False
1751-3928,1,False
1474-0540,0.25,False
0973-0753,0.25,False
1557-3087,1,False
1367-0751,0.2,False
1747-7379,1,False
1868-4599,1,False
1743-9019,1,False
1741-0134,1,False
1939-9154,1,False
0142-9418,1,False
0039-7709,0.2,False
1464-0716,1,False
2754-1223,1,False
1040-2608,1,False
2042-1834,0.25,False
2949-8821,0.25,False
1091-6466,0.25,False
1521-0960,1,False
1468-036X,1,False
2054-4715,1,False
2152-2820,1,False
0253-3839,0.25,False
1943-9962,0.25,False
1366-5820,0.25,False
0167-8116,1,False
2051-6231,1,False
1043-4666,0.25,False
1521-4125,1,False
1757-8418,1,False
1464-3693,1,False
1360-0540,1,False
0044-7471,1,False
1367-8868,0.25,False
0004-9727,1,False
1747-5759,1,False
0300-7766,1,False
1754-0402,1,False
1305-3299,1,False
2321-0303,0.25,False
1744-5035,0.15,False
0022-5045,0.25,False
1551-2916,1,False
2666-5239,0.25,False
2056-4686,1,False
0266-2671,0.25,False
1710-1107,1,False
0974-6862,0.15,False
1558-5255,1,False
2194-6167,0.25,False
2171-1976,0.25,False
1938-9736,1,False
0007-4551,0.25,False
1745-8706,0.25,False
1615-7168,0.25,False
2772-3925,0.25,False
1936-5233,0.25,False
1469-3704,1,False
1540-6520,1,False
1528-1167,1,False
0037-1998,1,False
1606-6359,0.25,False
2391-5447,1,False
0040-5000,0.2,False
1750-984X,1,False
1751-6838,0.25,False
1744-5132,1,False
1744-7674,0.25,False
1540-5931,1,False
2352-3808,1,False
2327-9109,1,False
0034-6373,1,False
0010-3624,1,False
1758-9622,1,False
1569-3988,1,False
1613-4516,1,False
1089-4098,0.25,False
2153-960X,1,False
1468-8417,0.25,False
1741-9883,1,False
1460-2350,1,False
1744-9006,1,False
1502-1866,1,False
1478-9515,1,False
1744-1749,1,False
2333-7214,0.25,False
1053-0789,0.25,False
1878-3503,0.25,False
2210-4925,0.4,False
0305-0548,0.2,False
2632-1742,1,False
2041-1294,0.25,False
0092-640X,1,False
1091-1359,1,False
0323-4045,0.25,False
1759-7544,0.25,False
2329-4884,1,False
1360-0818,0.25,False
0022-2836,1,False
0167-1987,1,False
0955-7490,0.25,False
0025-5564,0.25,False
0312-407X,1,False
1573-658X,0.25,False
2667-3681,0.25,False
1759-7277,0.2,False
1540-5915,0.25,False
0921-8831,0.25,False
0971-5231,0.25,False
0921-8890,1,False
2365-709X,1,False
1467-842X,0.25,False
2192-4279,0.25,False
1752-0738,0.2,False
0004-3125,1,False
1687-1979,1,False
0951-5089,0.25,False
0272-5037,0.25,False
0305-7356,0.25,False
2590-2628,0.4,False
0001-6918,0.25,False
2367-2293,1,False
2405-8572,1,False
1523-6803,0.2,False
1530-0277,1,False
1097-0134,0.25,False
0193-3922,1,False
1526-968X,0.25,False
2195-1071,0.25,False
0894-9468,0.25,False
1478-601X,1,False
1534-8423,0.25,False
1552-826X,0.25,False
1554-6136,1,False
1465-394X,1,False
0021-9665,0.15,False
1460-373X,1,False
2041-2479,1,False
2047-3095,1,False
1744-1331,1,False
1939-7879,1,False
0968-3445,0.25,False
1469-8188,1,False
0143-814X,1,False
0093-8548,1,False
2516-6093,1,False
1757-7632,0.25,False
1059-0560,1,False
1469-817X,1,False
1754-1484,1,False
1537-2197,1,False
2529-9840,1,False
2047-6965,0.25,False
2300-7451,1,False
1936-086X,0.25,False
0164-7954,0.2,False
0266-8734,1,False
1759-9962,0.25,False
2590-1125,0.25,False
1756-9370,0.25,False
0264-2751,1,False
1923-3051,1,False
1469-2163,1,False
1083-6160,1,False
1476-4172,0.2,False
1741-3044,1,False
1538-3873,0.25,False
0098-6445,1,False
0973-0729,0.25,False
1743-8586,0.25,False
0735-7907,1,False
1552-4930,0.25,False
1054-8408,0.2,False
1043-951X,1,False
2753-8796,1,False
0038-0261,0.25,False
0893-9659,1,False
2040-8153,0.25,False
1746-1987,0.25,False
2372-7330,0.2,False
1438-8677,1,False
1744-6406,1,False
2396-9873,1,False
0170-1452,1,False
1146-609X,0.4,False
1541-4477,0.2,False
0300-9858,1,False
1097-0274,0.25,False
2569-3263,1,False
0165-0270,0.25,False
1097-0312,1,False
1477-2728,0.25,False
0267-3037,0.25,False
1750-3280,0.25,False
0569-4345,0.25,False
1470-8477,0.25,False
1752-0754,0.25,False
0021-9533,1,False
2578-3866,1,False
1469-9885,0.2,False
1468-0297,1,False
1930-739X,1,False
0013-7006,1,False
1532-3277,1,False
2168-989X,0.25,False
2590-0552,1,False
1751-4517,0.25,False
2372-9333,1,False
1862-2976,1,False
1942-9541,1,False
1536-8378,1,False
1467-8519,1,False
1478-2286,0.1,False
2157-6580,0.25,False
1612-202X,1,False
1029-4910,1,False
0378-4371,1,False
2194-654X,1,False
1743-9388,0.25,False
1556-3650,1,False
0016-9013,0.25,False
2328-9643,0.25,False
0360-3199,0.25,False
1552-6844,0.25,False
2210-6707,0.25,False
1558-3708,1,False
2159-5364,1,False
0304-386X,0.25,False
2053-3705,1,False
1749-9518,0.25,False
1356-1863,1,False
1473-5784,1,False
1562-3599,0.2,False
1521-4117,0.25,False
2042-6984,0.15,False
2321-7464,1,False
0021-9320,0.25,False
1931-2458,1,False
0008-4077,0.25,False
0963-8199,1,False
1161-0301,0.25,False
1476-7937,0.25,False
1540-9597,1,False
0972-1509,1,False
1567-133X,1,False
1937-190X,0.25,False
0075-1634,0.25,False
0304-4068,0.25,False
0972-6527,0.25,False
0379-0738,1,False
2755-0958,0.25,False
2772-753X,1,False
0008-5030,0.25,False
1549-960X,1,False
0950-5849,0.25,False
0361-0926,0.25,False
0007-1420,1,False
2666-5182,1,False
2053-4353,1,False
0022-0671,1,False
2666-3287,1,False
1545-0066,1,False
2156-8588,1,False
2473-3938,1,False
2332-7383,0.25,False
2041-0611,0.25,False
2399-5548,1,False
1470-1243,1,False
1364-5579,1,False
1471-6372,0.25,False
1741-3842,1,False
1467-8551,0.25,False
1793-8120,0.1,False
1938-2731,1,False
1756-8765,1,False
2325-8012,0.25,False
0034-4125,1,False
1549-1676,0.25,False
0034-4087,0.25,False
2162-4909,0.25,False
1536-0539,1,False
2666-5662,1,False
2637-403X,0.4,False
1469-3526,1,False
1937-6537,1,False
2837-1402,0.25,False
0950-0340,1,False
1532-8007,1,False
1468-5248,0.25,False
1942-4299,0.1,False
1350-5084,1,False
2379-4933,0.25,False
0957-1787,1,False
0005-8076,1,False
0027-3171,1,False
1478-1603,1,False
2165-0799,1,False
2212-4438,0.25,False
0315-1468,0.25,False
1361-6595,1,False
2372-966X,1,False
2632-1297,1,False
1541-4140,1,False
2452-414X,1,False
1464-4193,0.1,False
0963-9268,1,False
1096-7516,1,False
2163-0097,1,False
1431-5041,1,False
2192-4848,0.25,False
1945-0109,1,False
0037-1963,1,False
1552-146X,0.25,False
1708-5381,1,False
1521-4052,0.25,False
1047-3211,1,False
1044-3894,1,False
0894-0886,1,False
1088-3576,1,False
2399-3693,0.25,False
1467-8489,0.25,False
1042-0150,1,False
1110-0168,0.25,False
1474-0699,0.25,False
0020-8825,1,False
1520-5835,0.25,False
0892-4562,1,False
0142-064X,0.25,False
1477-8947,1,False
1099-0720,1,False
1355-6177,1,False
1542-0124,0.25,False
1552-8049,1,False
1876-1399,1,False
1440-1797,1,False
1466-433X,0.25,False
0964-8305,1,False
1607-3606,0.25,False
1879-1395,0.25,False
1741-6124,1,False
0974-7338,0.25,False
2165-6509,0.25,False
1053-8372,1,False
0424-2084,1,False
1542-6432,1,False
1864-8258,0.25,False
1464-5491,0.25,False
0032-5899,1,False
1741-2757,1,False
2753-3999,0.25,False
0167-7012,0.25,False
1461-7358,1,False
1743-9418,0.25,False
1749-4060,1,False
1092-6771,0.25,False
2051-364X,1,False
1468-2370,1,False
0376-8716,1,False
1939-3555,1,False
2161-4504,1,False
1079-0632,1,False
1947-248X,1,False
0268-117X,0.2,False
1865-7117,1,False
2590-2571,0.1,False
0266-4763,1,False
1468-2982,0.25,False
2752-4191,1,False
1945-7111,1,False
1753-9455,1,False
2352-9148,1,False
2666-9544,1,False
2588-994X,0.2,False
0254-5861,0.25,False
2666-142X,0.25,False
0020-7152,1,False
1468-2885,1,False
1748-3190,0.25,False
1360-0508,0.25,False
1365-182X,0.2,False
2993-3021,0.2,False
1477-6006,1,False
1471-6976,0.2,False
1477-2299,1,False
2054-9555,0.25,False
1349-0079,0.25,False
0025-1003,1,False
1923-6026,0.25,False
1477-8564,0.25,False
2755-0311,1,False
0304-4238,1,False
1350-4533,0.25,False
1532-1819,1,False
1878-9293,1,False
0144-0357,0.25,False
2213-0071,1,False
0533-3164,1,False
1552-6577,1,False
1745-8137,0.25,False
1322-7696,1,False
1745-9214,1,False
2045-7960,0.25,False
0260-2105,0.25,False
0276-3877,1,False
1040-1334,0.25,False
0901-8328,1,False
2155-1200,0.1,False
1460-2199,1,False
0949-9571,0.25,False
0260-6917,1,False
1208-6002,1,False
2772-7661,1,False
1475-3081,0.25,False
0370-1573,1,False
2352-5800,1,False
2200-0259,0.25,False
0959-3969,1,False
0033-4545,0.25,False
1464-0619,0.25,False
1934-4945,0.25,False
1525-1489,1,False
1642-431X,1,False
0790-0627,0.25,False
2047-9336,0.2,False
1743-2847,1,False
1468-1811,1,False
0010-2202,0.25,False
2771-9316,0.25,False
1467-9868,1,False
1542-7560,1,False
